Rk;Jogador;Equipe;Minutos jogados;Taxa de acerto total;Pontos de 3 convertidos;Pontos de 3 tentados;Taxa de acerto de 3 pontos;Rebotes;Assistencias;Pontos por jogo
179;Alex Caruso;CHI;28.7;.468;1.9;4.7;.408;3.8;3.5;10.1
180;Talen Horton-Tucker;UTA;19.8;.396;1.2;3.6;.330;2.4;3.5;10.1
181;Tre Jones;SAS;27.8;.505;0.8;2.5;.335;3.8;6.2;10.0
182;Caleb Martin;MIA;27.4;.431;1.3;3.6;.349;4.4;2.2;10.0
183;Patrick Williams;CHI;27.3;.443;1.4;3.4;.399;3.9;1.5;10.0
184;Vince Williams Jr.;MEM;27.6;.446;1.5;4.0;.378;5.6;3.4;10.0
185;Josh Richardson;MIA;25.7;.444;1.5;4.4;.347;2.8;2.4;9.9
186;Jalen Smith;IND;17.2;.592;1.0;2.4;.424;5.5;1.0;9.9
187;Gordon Hayward;2TM;24.4;.464;0.7;1.8;.411;3.5;3.1;9.8
187;Gordon Hayward;CHO;31.9;.468;0.9;2.4;.361;4.7;4.6;14.5
187;Gordon Hayward;OKC;17.2;.453;0.6;1.1;.517;2.5;1.6;5.3
188;Kelly Olynyk;2TM;22.6;.555;0.8;2.0;.387;5.3;4.4;9.8
188;Kelly Olynyk;UTA;20.4;.562;0.7;1.7;.429;5.1;4.4;8.1
188;Kelly Olynyk;TOR;26.4;.548;0.9;2.5;.338;5.6;4.6;12.7
189;Tari Eason;HOU;21.8;.466;0.8;2.3;.360;7.0;1.2;9.8
190;Nick Richards;CHO;26.3;.691;0.0;0.0;.000;8.0;0.8;9.7
191;Lonnie Walker IV;BRK;17.4;.423;1.8;4.7;.384;2.2;1.3;9.7
192;Payton Pritchard;BOS;22.3;.468;1.8;4.7;.385;3.2;3.4;9.6
193;Amen Thompson;HOU;22.4;.536;0.1;0.9;.138;6.6;2.6;9.5
194;Josh Hart;NYK;33.4;.434;1.0;3.2;.310;8.3;4.1;9.4
195;Georges Niang;CLE;22.3;.449;1.8;4.8;.376;3.4;1.2;9.4
196;Isaac Okoro;CLE;27.3;.490;1.2;3.1;.391;3.0;1.9;9.4
197;Tre Mann;2TM;24.1;.459;1.1;3.1;.373;3.6;4.0;9.3
197;Tre Mann;OKC;9.2;.500;0.6;1.5;.421;1.8;1.5;3.8
197;Tre Mann;CHO;31.0;.453;1.4;3.8;.364;4.5;5.2;11.9
198;Malaki Branham;SAS;21.3;.432;1.2;3.6;.347;2.0;2.1;9.2
199;Andrew Nembhard;IND;25.0;.498;0.9;2.5;.357;2.1;4.1;9.2
200;Chris Paul;GSW;26.4;.441;1.3;3.6;.371;3.9;6.8;9.2
201;Brandin Podziemski;GSW;26.6;.454;1.2;3.2;.385;5.8;3.7;9.2
202;Duop Reath;POR;17.9;.461;1.3;3.6;.359;3.7;1.0;9.1
203;Sam Hauser;BOS;22.0;.446;2.5;5.9;.424;3.5;1.0;9.0
204;Taurean Prince;LAL;27.0;.442;1.8;4.6;.396;2.9;1.5;8.9
205;Jabari Walker;POR;23.6;.460;0.6;1.9;.295;7.1;1.0;8.9
206;Dereck Lively II;DAL;23.5;.747;0.0;0.0;.000;6.9;1.1;8.8
207;Kevin Love;MIA;16.8;.440;1.5;4.4;.344;6.1;2.1;8.8
208;Terance Mann;LAC;25.0;.515;0.9;2.7;.348;3.4;1.6;8.8
209;Ausar Thompson;DET;25.1;.483;0.3;1.8;.186;6.4;1.9;8.8
210;Draymond Green;GSW;27.1;.497;0.9;2.3;.395;7.2;6.0;8.6
211;Al Horford;BOS;26.8;.511;1.7;4.0;.419;6.4;2.6;8.6
212;Derrick Jones Jr.;DAL;23.5;.483;1.1;3.1;.343;3.3;1.0;8.6
213;Gradey Dick;TOR;21.1;.425;1.5;4.0;.365;2.2;1.1;8.5
214;Dorian Finney-Smith;BRK;28.4;.421;1.7;4.9;.348;4.7;1.6;8.5
215;Tristan Vukcevic;WAS;15.3;.433;1.0;3.6;.278;3.6;1.3;8.5
216;Bilal Coulibaly;WAS;27.2;.435;1.0;2.9;.346;4.1;1.7;8.4
217;Andre Drummond;CHI;17.1;.556;0.0;0.0;.000;9.0;0.5;8.4
218;Miles McBride;NYK;19.5;.452;1.6;3.9;.410;1.5;1.7;8.3
219;Marcus Sasser;DET;19.0;.428;1.3;3.4;.375;1.8;3.3;8.3
220;Josh Green;DAL;26.4;.479;1.3;3.3;.385;3.2;2.3;8.2
221;Isaiah Joe;OKC;18.5;.458;1.9;4.5;.416;2.3;1.3;8.2
222;Ziaire Williams;MEM;20.4;.397;1.1;3.7;.307;3.5;1.5;8.2
223;Kyle Lowry;2TM;28.2;.432;1.6;4.2;.392;3.2;4.2;8.1
223;Kyle Lowry;MIA;28.0;.426;1.7;4.4;.385;3.5;4.0;8.2
223;Kyle Lowry;PHI;28.4;.444;1.6;3.9;.404;2.8;4.6;8.0
224;Walker Kessler;UTA;23.3;.654;0.1;0.3;.211;7.5;0.9;8.1
225;Moses Moody;GSW;17.5;.462;1.1;3.0;.360;3.0;0.9;8.1
226;Nickeil Alexander-Walker;MIN;23.4;.439;1.6;4.1;.391;2.0;2.5;8.0
227;Sam Merrill;CLE;17.5;.402;2.3;5.8;.404;2.0;1.8;8.0
228;Derrick Rose;MEM;16.6;.461;0.6;1.7;.366;1.9;3.3;8.0
229;Dario Šarić;GSW;17.2;.466;1.2;3.1;.376;4.4;2.3;8.0
230;Trayce Jackson-Davis;GSW;16.6;.702;0.0;0.0;.000;5.0;1.2;7.9
231;Dante Exum;DAL;19.8;.533;1.0;2.0;.491;2.7;2.9;7.8
232;Markelle Fultz;ORL;21.2;.472;0.1;0.4;.222;3.2;2.8;7.8
233;Isaiah Hartenstein;NYK;25.3;.644;0.0;0.0;.333;8.3;2.5;7.8
234;Jordan Hawkins;NOP;17.3;.382;1.6;4.4;.366;2.2;1.0;7.8
235;Royce O'Neale;2TM;24.7;.397;2.0;5.3;.370;4.8;2.8;7.7
